Country,ISO,diabetes_prevalence,health_spending,doctors_per_1000,oop_spending,Cluster,Cluster_Name,Anomaly,Anomaly_Label
Algeria,DZA,0.18649081266710799,575.58496,1.66,50.13016,0.0,"High Burden, Mid Capacity",1,Normal
Andorra,AND,0.0725389795594269,5152.053,5.157,8.845033,2.0,Healthy & Wealthy,1,Normal
Angola,AGO,0.1839711436835895,259.07773,0.244,30.038616,0.0,"High Burden, Mid Capacity",1,Normal
Argentina,ARG,0.1055708420259055,3006.9792,5.437,25.212965,2.0,Healthy & Wealthy,1,Normal
Armenia,ARM,0.1169300104152455,1967.402,3.36,79.09084,3.0,Silent Crisis,-1,Anomaly
Australia,AUS,0.08119828387620334,7128.308,4.086,15.132687,2.0,Healthy & Wealthy,1,Normal
Austria,AUT,0.0519503000947993,7995.7793,5.432,16.29116,2.0,Healthy & Wealthy,1,Normal
Azerbaijan,AZE,0.13337644924193298,758.7803,3.185,66.25884,3.0,Silent Crisis,1,Normal
Bangladesh,BGD,0.178819210561564,187.2176,0.717,78.25326,3.0,Silent Crisis,1,Normal
Barbados,BRB,0.2218601724993405,1162.3798,2.958,46.74364,0.0,"High Burden, Mid Capacity",1,Normal
Belarus,BLR,0.07719621124865389,1881.2255,4.669,27.618536,2.0,Healthy & Wealthy,1,Normal
Belgium,BEL,0.06705651652910816,7359.425,3.574,21.40807,2.0,Healthy & Wealthy,1,Normal
Benin,BEN,0.12102283477221999,114.62701,0.19,49.11422,3.0,Silent Crisis,1,Normal
Bhutan,BTN,0.1558684093666305,555.5646,0.553,28.012148,1.0,"Low Burden, Low Capacity",1,Normal
Botswana,BWA,0.0897989920932197,1145.9723,0.407,4.391904,1.0,"Low Burden, Low Capacity",1,Normal
Bulgaria,BGR,0.10741965836642234,2728.5244,4.328,35.075924,2.0,Healthy & Wealthy,1,Normal
Burkina Faso,BFA,0.12287173148696,203.43124,0.148,42.292507,1.0,"Low Burden, Low Capacity",1,Normal
Burundi,BDI,0.08733335000746464,77.10578,0.078,25.175972,1.0,"Low Burden, Low Capacity",1,Normal
Cabo Verde,CPV,0.0859770442874733,651.50476,0.718,22.069384,1.0,"Low Burden, Low Capacity",1,Normal
Cameroon,CMR,0.176583450292038,233.2131,0.136,67.75391,3.0,Silent Crisis,1,Normal
Canada,CAN,0.0689526978395158,7066.05,2.814,14.960679,2.0,Healthy & Wealthy,1,Normal
Central African Republic,CAF,0.18862484240237948,124.9178,0.029,47.645657,0.0,"High Burden, Mid Capacity",1,Normal
Chad,TCD,0.112733003275595,108.17181,0.082,58.175507,3.0,Silent Crisis,1,Normal
Chile,CHL,0.139312191628443,3083.671,3.178,35.59933,0.0,"High Burden, Mid Capacity",1,Normal
China,CHN,0.11142675288737844,1342.9005,3.112,31.627674,1.0,"Low Burden, Low Capacity",1,Normal
Comoros,COM,0.06195384475663135,309.2057,0.424,43.503624,1.0,"Low Burden, Low Capacity",1,Normal
Congo,COG,0.129104628223954,134.7309,0.173,26.92919,1.0,"Low Burden, Low Capacity",1,Normal
Costa Rica,CRI,0.23102602656159898,1862.3512,2.687,22.435043,0.0,"High Burden, Mid Capacity",1,Normal
Cote d'Ivoire,CIV,0.113197253784674,246.67453,0.162,32.549244,1.0,"Low Burden, Low Capacity",1,Normal
Croatia,HRV,0.09129562266487855,3021.2556,3.909,9.189174,2.0,Healthy & Wealthy,1,Normal
Cyprus,CYP,0.0731224174620288,4542.945,3.556,18.044916,2.0,Healthy & Wealthy,1,Normal
Czechia,CZE,0.07753797108277645,4444.877,4.352,14.287589,2.0,Healthy & Wealthy,1,Normal
DR Congo,COD,0.09311632790218935,56.30231,0.208,37.076553,1.0,"Low Burden, Low Capacity",1,Normal
Djibouti,DJI,0.0869485773650365,159.60509,0.211,29.059875,1.0,"Low Burden, Low Capacity",1,Normal
Dominican Republic,DOM,0.17484011128107751,1131.8705,2.234,25.022394,0.0,"High Burden, Mid Capacity",1,Normal
El Salvador,SLV,0.126041158716928,1164.5092,1.566,31.098345,1.0,"Low Burden, Low Capacity",1,Normal
Equatorial Guinea,GNQ,0.134151056489592,514.67926,0.153,66.718704,3.0,Silent Crisis,1,Normal
Eritrea,ERI,0.08558725927689295,86.81522,0.088,54.294155,3.0,Silent Crisis,1,Normal
Estonia,EST,0.0871701689649817,3358.1792,3.469,23.142294,2.0,Healthy & Wealthy,1,Normal
Eswatini,SWZ,0.118596053903288,771.34894,0.561,10.337654,1.0,"Low Burden, Low Capacity",1,Normal
Ethiopia,ETH,0.0678092847259168,81.16465,0.105,44.596245,1.0,"Low Burden, Low Capacity",1,Normal
France,FRA,0.0276085677283538,6642.984,3.281,9.247569,2.0,Healthy & Wealthy,-1,Anomaly
Gabon,GAB,0.135205710331804,577.95917,0.521,17.916264,1.0,"Low Burden, Low Capacity",1,Normal
Gambia,GMB,0.1319538479091975,108.48988,0.104,29.438284,1.0,"Low Burden, Low Capacity",1,Normal
Georgia,GEO,0.09257856633134351,1823.3392,5.538,57.182545,2.0,Healthy & Wealthy,-1,Anomaly
Germany,DEU,0.06630603225242275,8469.651,4.534,10.432013,2.0,Healthy & Wealthy,1,Normal
Ghana,GHA,0.1039384632254733,264.90253,0.143,25.032135,1.0,"Low Burden, Low Capacity",1,Normal
Greece,GRC,0.07321091946372345,3285.433,6.576,33.538914,2.0,Healthy & Wealthy,1,Normal
Guinea,GIN,0.10254458501222785,155.70642,0.21,54.10121,3.0,Silent Crisis,1,Normal
